date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag,same day year ago
20200101,1/1/2020,3,1,1,Wednesday,Wed,y,1,1,12/30/2019,20191230,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/1/2019
20200102,1/2/2020,4,2,2,Thursday,Thu,y,1,1,12/30/2019,20191230,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/2/2019
20200103,1/3/2020,5,3,3,Friday,Fri,y,1,1,12/30/2019,20191230,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/3/2019
20200104,1/4/2020,6,4,4,Saturday,Sat,n,1,1,12/30/2019,20191230,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/4/2019
20200105,1/5/2020,7,5,5,Sunday,Sun,n,1,1,12/30/2019,20191230,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/5/2019
20200106,1/6/2020,1,6,6,Monday,Mon,y,2,2,1/6/2020,20200106,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/6/2019
20200107,1/7/2020,2,7,7,Tuesday,Tue,y,2,2,1/6/2020,20200106,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/7/2019
20200108,1/8/2020,3,8,8,Wednesday,Wed,y,2,2,1/6/2020,20200106,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/8/2019
20200109,1/9/2020,4,9,9,Thursday,Thu,y,2,2,1/6/2020,20200106,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/9/2019
20200110,1/10/2020,5,10,10,Friday,Fri,y,2,2,1/6/2020,20200106,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/10/2019
20200111,1/11/2020,6,11,11,Saturday,Sat,n,2,2,1/6/2020,20200106,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/11/2019
20200112,1/12/2020,7,12,12,Sunday,Sun,n,2,2,1/6/2020,20200106,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/12/2019
20200113,1/13/2020,1,13,13,Monday,Mon,y,3,3,1/13/2020,20200113,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/13/2019
20200114,1/14/2020,2,14,14,Tuesday,Tue,y,3,3,1/13/2020,20200113,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/14/2019
20200115,1/15/2020,3,15,15,Wednesday,Wed,y,3,3,1/13/2020,20200113,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/15/2019
20200116,1/16/2020,4,16,16,Thursday,Thu,y,3,3,1/13/2020,20200113,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/16/2019
20200117,1/17/2020,5,17,17,Friday,Fri,y,3,3,1/13/2020,20200113,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/17/2019
20200118,1/18/2020,6,18,18,Saturday,Sat,n,3,3,1/13/2020,20200113,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/18/2019
20200119,1/19/2020,7,19,19,Sunday,Sun,n,3,3,1/13/2020,20200113,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/19/2019
20200120,1/20/2020,1,20,20,Monday,Mon,y,4,4,1/20/2020,20200120,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/20/2019
20200121,1/21/2020,2,21,21,Tuesday,Tue,y,4,4,1/20/2020,20200120,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/21/2019
20200122,1/22/2020,3,22,22,Wednesday,Wed,y,4,4,1/20/2020,20200120,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/22/2019
20200123,1/23/2020,4,23,23,Thursday,Thu,y,4,4,1/20/2020,20200120,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/23/2019
20200124,1/24/2020,5,24,24,Friday,Fri,y,4,4,1/20/2020,20200120,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/24/2019
20200125,1/25/2020,6,25,25,Saturday,Sat,n,4,4,1/20/2020,20200120,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/25/2019
20200126,1/26/2020,7,26,26,Sunday,Sun,n,4,4,1/20/2020,20200120,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/26/2019
20200127,1/27/2020,1,27,27,Monday,Mon,y,5,5,1/27/2020,20200127,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/27/2019
20200128,1/28/2020,2,28,28,Tuesday,Tue,y,5,5,1/27/2020,20200127,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/28/2019
20200129,1/29/2020,3,29,29,Wednesday,Wed,y,5,5,1/27/2020,20200127,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/29/2019
20200130,1/30/2020,4,30,30,Thursday,Thu,y,5,5,1/27/2020,20200127,1,1,January,Jan,1,2020,202001,7,3,2020,n,1/30/2019
20200131,1/31/2020,5,31,31,Friday,Fri,y,5,5,1/27/2020,20200127,1,1,January,Jan,1,2020,202001,7,3,2020,m,1/31/2019
20200201,2/1/2020,6,1,32,Saturday,Sat,n,5,5,1/27/2020,20200127,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/1/2019
20200202,2/2/2020,7,2,33,Sunday,Sun,n,5,5,1/27/2020,20200127,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/2/2019
20200203,2/3/2020,1,3,34,Monday,Mon,y,6,6,2/3/2020,20200203,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/3/2019
20200204,2/4/2020,2,4,35,Tuesday,Tue,y,6,6,2/3/2020,20200203,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/4/2019
20200205,2/5/2020,3,5,36,Wednesday,Wed,y,6,6,2/3/2020,20200203,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/5/2019
20200206,2/6/2020,4,6,37,Thursday,Thu,y,6,6,2/3/2020,20200203,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/6/2019
20200207,2/7/2020,5,7,38,Friday,Fri,y,6,6,2/3/2020,20200203,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/7/2019
20200208,2/8/2020,6,8,39,Saturday,Sat,n,6,6,2/3/2020,20200203,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/8/2019
20200209,2/9/2020,7,9,40,Sunday,Sun,n,6,6,2/3/2020,20200203,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/9/2019
20200210,2/10/2020,1,10,41,Monday,Mon,y,7,7,2/10/2020,20200210,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/10/2019
20200211,2/11/2020,2,11,42,Tuesday,Tue,y,7,7,2/10/2020,20200210,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/11/2019
20200212,2/12/2020,3,12,43,Wednesday,Wed,y,7,7,2/10/2020,20200210,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/12/2019
20200213,2/13/2020,4,13,44,Thursday,Thu,y,7,7,2/10/2020,20200210,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/13/2019
20200214,2/14/2020,5,14,45,Friday,Fri,y,7,7,2/10/2020,20200210,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/14/2019
20200215,2/15/2020,6,15,46,Saturday,Sat,n,7,7,2/10/2020,20200210,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/15/2019
20200216,2/16/2020,7,16,47,Sunday,Sun,n,7,7,2/10/2020,20200210,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/16/2019
20200217,2/17/2020,1,17,48,Monday,Mon,y,8,8,2/17/2020,20200217,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/17/2019
20200218,2/18/2020,2,18,49,Tuesday,Tue,y,8,8,2/17/2020,20200217,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/18/2019
20200219,2/19/2020,3,19,50,Wednesday,Wed,y,8,8,2/17/2020,20200217,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/19/2019
20200220,2/20/2020,4,20,51,Thursday,Thu,y,8,8,2/17/2020,20200217,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/20/2019
20200221,2/21/2020,5,21,52,Friday,Fri,y,8,8,2/17/2020,20200217,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/21/2019
20200222,2/22/2020,6,22,53,Saturday,Sat,n,8,8,2/17/2020,20200217,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/22/2019
20200223,2/23/2020,7,23,54,Sunday,Sun,n,8,8,2/17/2020,20200217,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/23/2019
20200224,2/24/2020,1,24,55,Monday,Mon,y,9,9,2/24/2020,20200224,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/24/2019
20200225,2/25/2020,2,25,56,Tuesday,Tue,y,9,9,2/24/2020,20200224,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/25/2019
20200226,2/26/2020,3,26,57,Wednesday,Wed,y,9,9,2/24/2020,20200224,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/26/2019
20200227,2/27/2020,4,27,58,Thursday,Thu,y,9,9,2/24/2020,20200224,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/27/2019
20200228,2/28/2020,5,28,59,Friday,Fri,y,9,9,2/24/2020,20200224,2,2,February,Feb,1,2020,202002,8,3,2020,n,2/28/2019
20200229,2/29/2020,6,29,60,Saturday,Sat,n,9,9,2/24/2020,20200224,2,2,February,Feb,1,2020,202002,8,3,2020,m,3/1/2019
20200301,3/1/2020,7,1,61,Sunday,Sun,n,9,9,2/24/2020,20200224,3,3,March,Mar,1,2020,202003,9,3,2020,n,3/1/2019
20200302,3/2/2020,1,2,62,Monday,Mon,y,10,10,3/2/2020,20200302,3,3,March,Mar,1,2020,202003,9,3,2020,n,3/2/2019
20200303,3/3/2020,2,3,63,Tuesday,Tue,y,10,10,3/2/2020,20200302,3,3,March,Mar,1,2020,202003,9,3,2020,n,3/3/2019
20200304,3/4/2020,3,4,64,Wednesday,Wed,y,10,10,3/2/2020,20200302,3,3,March,Mar,1,2020,202003,9,3,2020,n,3/4/2019
20200305,3/5/2020,4,5,65,Thursday,Thu,y,10,10,3/2/2020,20200302,3,3,March,Mar,1,2020,202003,9,3,2020,n,3/5/2019
20200306,3/6/2020,5,6,66,Friday,Fri,y,10,10,3/2/2020,20200302,3,3,March,Mar,1,2020,202003,9,3,2020,n,3/6/2019
20200307,3/7/2020,6,7,67,Saturday,Sat,n,10,10,3/2/2020,20200302,3,3,March,Mar,1,2020,202003,9,3,2020,n,3/7/2019
